Stock Code,Weight,Landed Cost,Shipping_Cost_1000_mile,Description,Category
21137,5,12,9,Canned Cat Food,Food
22114,0.5,8,5,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming
85123A,2,6,5,Dog and Puppy Pads,Disposables
85099B,2,5,4,Earth Rated Dog Poop Bags,Disposables
22502,1,36,7,Indoor Pet Camera,Electronics
22086,7,9,9,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables
47566,6,18,12,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables
22386,2,8,6,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food
82484,2,30,7,NexGard Chew for Dogs,Supplements
20725,0.5,4,5,Pet Grooming Brush,Grooming
23203,1,6,5,Pet Hair Remover,Grooming
84879,1,4,4,Pet Odor Eliminator,Cleaning Supplies
79321,1,22,7,ProBiotic Supplements for Dogs,Supplements
23298,10,18,10,Purina ONE SmartBlend Natural Adult Chicken 10lb,Food
23284,15,23,10,Purina Pro Plan Adult Sensitive Skin,Food
22960,1,15,5,Rechargeable Pet Nail Grinder,Grooming
22197,0.5,2.5,2.5,Sheba Perfect Portions Pâté Wet Cat Food,Food
22423,40,35,20,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food
23084,2,6,6,Temptations Soft Cat Treats,Food
22720,1,20,5,Ultrasonic Dog Barking Deterrent,Electronics